difference,difference_memory,element1,element2,period,position1,position2
-1,0,agent-0,agent-1,1,2,1
3,0,agent-0,agent-1,2,1,4
2,0,agent-0,agent-1,3,1,3
4,0,agent-0,agent-1,4,1,5
3,0,agent-0,agent-1,5,1,4
4,0,agent-0,agent-1,6,1,5
3,0,agent-0,agent-1,7,1,4
3,0,agent-0,agent-1,8,1,4
2,0,agent-0,agent-1,9,1,3
2,0,agent-0,agent-1,10,1,3
3,0,agent-0,agent-1,11,1,4
3,0,agent-0,agent-1,12,1,4
3,0,agent-0,agent-1,13,1,4
3,0,agent-0,agent-1,14,1,4
4,0,agent-0,agent-1,15,1,5
3,0,agent-0,agent-1,16,1,4
3,0,agent-0,agent-1,17,1,4
3,0,agent-0,agent-1,18,1,4
3,0,agent-0,agent-1,19,1,4
3,0,agent-0,agent-1,20,1,4
4,0,agent-0,agent-1,21,1,5
4,0,agent-0,agent-1,22,1,5
4,0,agent-0,agent-1,23,1,5
3,0,agent-0,agent-1,24,1,4
3,0,agent-0,agent-1,25,1,4
4,0,agent-0,agent-1,26,1,5
4,0,agent-0,agent-1,27,1,5
4,0,agent-0,agent-1,28,1,5
4,0,agent-0,agent-1,29,1,5
4,0,agent-0,agent-1,30,1,5
4,0,agent-0,agent-1,31,1,5
4,0,agent-0,agent-1,32,1,5
4,0,agent-0,agent-1,33,1,5
4,0,agent-0,agent-1,34,1,5
4,0,agent-0,agent-1,35,1,5
4,0,agent-0,agent-1,36,1,5
4,0,agent-0,agent-1,37,1,5
4,0,agent-0,agent-1,38,1,5
4,0,agent-0,agent-1,39,1,5
3,0,agent-0,agent-1,40,1,4
3,0,agent-0,agent-1,41,1,4
3,0,agent-0,agent-1,42,1,4
4,0,agent-0,agent-1,43,1,5
4,0,agent-0,agent-1,44,1,5
4,0,agent-0,agent-1,45,1,5
4,0,agent-0,agent-1,46,1,5
4,0,agent-0,agent-1,47,1,5
4,0,agent-0,agent-1,48,1,5
3,0,agent-0,agent-1,49,1,4
3,0,agent-0,agent-2,1,2,5
1,0,agent-0,agent-2,2,1,2
3,0,agent-0,agent-2,3,1,4
3,0,agent-0,agent-2,4,1,4
1,0,agent-0,agent-2,5,1,2
2,0,agent-0,agent-2,6,1,3
4,0,agent-0,agent-2,7,1,5
4,0,agent-0,agent-2,8,1,5
1,0,agent-0,agent-2,9,1,2
3,0,agent-0,agent-2,10,1,4
2,0,agent-0,agent-2,11,1,3
2,0,agent-0,agent-2,12,1,3
4,0,agent-0,agent-2,13,1,5
2,0,agent-0,agent-2,14,1,3
2,0,agent-0,agent-2,15,1,3
2,0,agent-0,agent-2,16,1,3
2,0,agent-0,agent-2,17,1,3
2,0,agent-0,agent-2,18,1,3
2,0,agent-0,agent-2,19,1,3
2,0,agent-0,agent-2,20,1,3
2,0,agent-0,agent-2,21,1,3
2,0,agent-0,agent-2,22,1,3
2,0,agent-0,agent-2,23,1,3
2,0,agent-0,agent-2,24,1,3
1,0,agent-0,agent-2,25,1,2
2,0,agent-0,agent-2,26,1,3
3,0,agent-0,agent-2,27,1,4
2,0,agent-0,agent-2,28,1,3
2,0,agent-0,agent-2,29,1,3
2,0,agent-0,agent-2,30,1,3
1,0,agent-0,agent-2,31,1,2
3,0,agent-0,agent-2,32,1,4
2,0,agent-0,agent-2,33,1,3
2,0,agent-0,agent-2,34,1,3
2,0,agent-0,agent-2,35,1,3
2,0,agent-0,agent-2,36,1,3
1,0,agent-0,agent-2,37,1,2
2,0,agent-0,agent-2,38,1,3
2,0,agent-0,agent-2,39,1,3
2,0,agent-0,agent-2,40,1,3
2,0,agent-0,agent-2,41,1,3
2,0,agent-0,agent-2,42,1,3
2,0,agent-0,agent-2,43,1,3
2,0,agent-0,agent-2,44,1,3
2,0,agent-0,agent-2,45,1,3
1,0,agent-0,agent-2,46,1,2
1,0,agent-0,agent-2,47,1,2
2,0,agent-0,agent-2,48,1,3
2,0,agent-0,agent-2,49,1,3
2,0,agent-0,agent-3,1,2,4
